Date,Adj Close,Close,High,Low,Open,Volume
2022-03-14,10.3999996185,10.3999996185,10.8999996185,10.3500003815,10.8500003815,133300
2022-03-15,10.2100000381,10.2100000381,10.4659996033,10.1599998474,10.279999733,49500
2022-03-16,10.6599998474,10.6599998474,10.7899999619,10.1400003433,10.1400003433,68000
2022-03-17,11.3100004196,11.3100004196,11.5699996948,10.5100002289,10.5100002289,82400
2022-03-18,11.4099998474,11.4099998474,11.5500001907,10.3400001526,11.1800003052,192500
2022-03-21,11.1800003052,11.1800003052,11.7100000381,10.970000267,11.3199996948,232700
2022-03-22,11.220000267,11.220000267,11.6300001144,11.1499996185,11.3100004196,222100
2022-03-23,11.3400001526,11.3400001526,11.4149999619,11.0799999237,11.279999733,197300
2022-03-24,11.75,11.75,11.8999996185,11.1920003891,11.4799995422,338300
2022-03-25,11.4899997711,11.4899997711,12.1149997711,11.2700004578,11.8999996185,223800
2022-03-28,11.3599996567,11.3599996567,11.6499996185,11.2899999619,11.3999996185,222000
2022-03-29,11.5500001907,11.5500001907,11.6899995804,11.3100004196,11.3100004196,307100
2022-03-30,11.4600000381,11.4600000381,11.7449998856,11.3900003433,11.6000003815,271500
2022-03-31,11.1999998093,11.1999998093,11.5799999237,11.0799999237,11.3599996567,201700
2022-04-01,11.1700000763,11.1700000763,11.3999996185,11.1199998856,11.3000001907,202800
2022-04-04,11.1999998093,11.1999998093,11.3000001907,10.9899997711,11.1999998093,302100
2022-04-05,11.1199998856,11.1199998856,11.25,11.029999733,11.2399997711,198600
2022-04-06,10.6199998856,10.6199998856,11.1000003815,10.5,11.029999733,137200
2022-04-07,10.6800003052,10.6800003052,10.7899999619,10.4200000763,10.6599998474,125000
2022-04-08,10.720000267,10.720000267,10.8500003815,10.4899997711,10.7299995422,146100
2022-04-11,10.7899999619,10.7899999619,10.8500003815,10.529999733,10.7100000381,118900
2022-04-12,11.0900001526,11.0900001526,11.6300001144,10.779999733,10.9300003052,352600
2022-04-13,10.8999996185,10.8999996185,11.3199996948,10.8100004196,11.0799999237,348600
2022-04-14,10.3800001144,10.3800001144,10.9600000381,10.3699998856,10.9099998474,122900
2022-04-18,10.8299999237,10.8299999237,11.0600004196,10.1499996185,10.279999733,258000
2022-04-19,11.220000267,11.220000267,11.5,10.6000003815,10.7399997711,395200
2022-04-20,10.970000267,10.970000267,11.3100004196,10.8900003433,11.3000001907,354100
2022-04-21,10.4300003052,10.4300003052,11.0200004578,10.4099998474,11.0100002289,197800
2022-04-22,10.1899995804,10.1899995804,10.8900003433,10.1000003815,10.3400001526,148600
2022-04-25,10.2100000381,10.2100000381,10.3350000381,9.80000019073,10.0600004196,332400
2022-04-26,10.1899995804,10.1899995804,10.25,9.875,10.2100000381,419200
2022-04-27,10.2600002289,10.2600002289,10.3050003052,9.81999969482,10.1800003052,148700
2022-04-28,10.6499996185,10.6499996185,10.7550001144,9.97000026703,10.3400001526,224200
2022-04-29,11.3599996567,11.3599996567,11.6499996185,10.3900003433,10.6199998856,268100
2022-05-02,11.8900003433,11.8900003433,12.1000003815,11.25,11.3699998856,319200
2022-05-03,12.1700000763,12.1700000763,12.4200000763,11.6630001068,11.8800001144,307800
2022-05-04,12.7700004578,12.7700004578,12.8699998856,11.970000267,12.2600002289,458700
2022-05-05,12.0799999237,12.0799999237,12.7700004578,12.0,12.6800003052,298300
2022-05-06,12.1099996567,12.1099996567,12.1899995804,11.6300001144,12.1499996185,169000
2022-05-09,10.3400001526,10.3400001526,11.9300003052,10.029999733,11.9300003052,357200
2022-05-10,10.0399999619,10.0399999619,10.5729999542,9.68000030518,10.3599996567,390500
2022-05-11,10.3800001144,10.3800001144,10.7899999619,9.68999958038,10.1000003815,249500
2022-05-12,10.0799999237,10.0799999237,10.4200000763,9.89999961853,10.1999998093,201300
2022-05-13,11.5500001907,11.5500001907,12.2100000381,10.1049995422,10.2899999619,602600
2022-05-16,11.4899997711,11.4899997711,11.6700000763,11.2600002289,11.5600004196,378400
2022-05-17,11.7399997711,11.7399997711,11.9200000763,11.2100000381,11.7899999619,340200
2022-05-18,11.6999998093,11.6999998093,12.029999733,11.4600000381,11.6099996567,186300
2022-05-19,11.7899999619,11.7899999619,11.8500003815,11.4300003052,11.4600000381,228200
2022-05-20,11.8599996567,11.8599996567,12.1499996185,11.640999794,11.7700004578,213300
2022-05-23,12.2700004578,12.2700004578,12.4200000763,11.8100004196,11.8900003433,252800
2022-05-24,12.0699996948,12.0699996948,12.2899999619,11.970000267,12.0699996948,376200
2022-05-25,12.3400001526,12.3400001526,12.5050001144,11.6750001907,11.970000267,334800
2022-05-26,12.3999996185,12.3999996185,13.1400003433,12.279999733,12.470000267,265400
2022-05-27,13.0699996948,13.0699996948,13.2650003433,12.4200000763,12.4200000763,211000
2022-05-31,12.9300003052,12.9300003052,13.2700004578,12.4399995804,13.0,1419000
2022-06-01,14.3800001144,14.3800001144,14.6199998856,12.7899999619,12.9600000381,451600
2022-06-02,15.2299995422,15.2299995422,15.25,14.3800001144,14.3800001144,317100
2022-06-03,15.2299995422,15.2299995422,15.5,14.7899999619,15.1300001144,369100
2022-06-06,16.5599994659,16.5599994659,16.6499996185,15.1199998856,15.5600004196,513700
2022-06-07,14.220000267,14.220000267,16.3799991608,13.5699996948,16.3799991608,648753
